技能名称,大类,小类,熟练度,掌握时间,描述,详细内容
剧本创作,Art & Creative,,初窥门径,,,
世界观设定,Art & Creative,,初窥门径,,,
写杂谈文章,Art & Creative,,初窥门径,,,
弹吉他,Art & Creative,音乐,初窥门径,,,
量子力学基础,Mind & Knowledge,,初窥门径,,,
逻辑哲学论,Mind & Knowledge,哲学,初窥门径,,,
存在主义,Mind & Knowledge,哲学,初窥门径,,,
海利克姆急救法,Adventure & Outdoor,,初窥门径,,,
人工呼吸,Adventure & Outdoor,,初窥门径,,,
基础急救,Adventure & Outdoor,,初窥门径,,,
采购式出行,Adventure & Outdoor,,初窥门径,,,
如何读博尔赫斯,Mind & Knowledge,哲学,初窥门径,,,
周末延长法,Meta & System,meta,初窥门径,,,
绳索速降,Adventure & Outdoor,户外,初窥门径,,,
无线电通讯,Technology & Tools,技术,初窥门径,,,
设计个人技能树,Meta & System,meta,初窥门径,,,
Notion,Technology & Tools,技术,初窥门径,,,
胶片摄影,Art & Creative,摄影,初窥门径,,,
冲浪,Adventure & Outdoor,户外,初窥门径,,,
攀岩,Adventure & Outdoor,户外,初窥门径,,,
C++,Technology & Tools,编程,初窥门径,,,
搭建网站,Technology & Tools,"技术, 编程",初窥门径,,,
搭建NAS,Technology & Tools,技术,初窥门径,,,
用摩卡壶冲咖啡,Life & Skills,饮料,初窥门径,2025,,
文档分类与管理,Life & Skills,整理,轻车熟路,,,
发票报账,Life & Skills,,轻车熟路,,,
通下水道,Life & Skills,修理,轻车熟路,,,
交水电费,Life & Skills,,轻车熟路,,,
医院流程,Life & Skills,,轻车熟路,,,
手擀面,Life & Skills,做饭,轻车熟路,,,
马提尼,Life & Skills,饮料,轻车熟路,,,
设计合理完善的实验,Mind & Knowledge,,轻车熟路,,,
弗洛伊德理论,Mind & Knowledge,哲学,轻车熟路,,,
使用latex,Technology & Tools,,轻车熟路,,,
雪地/冰面行走,Adventure & Outdoor,户外,轻车熟路,,,
处理高速爆胎,Adventure & Outdoor,,轻车熟路,,,
